,Event_Spec,Cruise,Latitude,Longitude,min_start_time,max_end_time,num_row_near,indexs
310,MTR_BCD2008603_1216_3382_3600_SPRING_1,BCD2008603,45.6,-60.5167,2000-05-23,2008-07-22,8.0,"[310, 436, 1132, 1909, 1940, 3399, 4071, 4093]"
313,MTR_BCD2008603_1442_3374_3600_SPRING_1,BCD2008603,45.5667,-60.6787,2005-05-20,2010-07-19,6.0,"[313, 857, 1736, 2499, 3163, 3529]"
315,MTR_BCD2008603_1330_3101_3600_SPRING_1,BCD2008603,43.4128,-65.7128,2006-11-30,2010-05-29,7.0,"[315, 831, 860, 1917, 2545, 2579, 3886]"
317,MTR_BCD2008603_1380_8902_3600_SPRING_1,BCD2008603,46.0498,-59.8935,2005-05-25,2008-07-17,4.0,"[317, 1511, 1907, 3235]"
320,MTR_BCD2008603_1470_6523_3600_SPRING_1,BCD2008603,44.9167,-62.15,2006-04-19,2010-06-19,3.0,"[320, 844, 2191]"
322,MTR_BCD2008603_1501_1466_3600_SPRING_10,BCD2008603,44.9653,-65.2612,2006-10-14,2008-06-22,4.0,"[322, 501, 3034, 3246]"
324,MTR_BCD2008603_1518_3384_3600_SPRING_1,BCD2008603,45.6185,-60.8743,2007-05-16,2008-06-30,5.0,"[324, 476, 804, 3465, 3610]"
325,MTR_BCD2008603_1532_3113_3600_SPRING_1,BCD2008603,46.0717,-59.8373,1999-05-15,2011-07-14,11.0,"[325, 1603, 1608, 2352, 2994, 3101, 3244, 3847, 4095, 4096, 4337]"
327,MTR_BCD2007603_1312_4631_3600_SPRING,BCD2007603,44.309,-64.2535,2002-11-26,2010-05-31,19.0,"[327, 334, 397, 653, 767, 815, 901, 939, 1016, 1164, 1165, 1814, 2222, 2279, 2470, 2526, 3505, 4015, 4117]"
328,MTR_BCD2007603_1316_6519_3600_FALL,BCD2007603,44.5321,-64.0316,2002-11-12,2008-11-03,7.0,"[328, 798, 1274, 1559, 2186, 3274, 3985]"
329,MTR_BCD2007603_1320_7181_3600_FALL,BCD2007603,43.4797,-65.446,2002-11-28,2010-05-26,13.0,"[329, 739, 745, 1560, 1795, 2207, 2480, 2538, 2946, 2989, 3026, 4016, 4167]"
332,MTR_BCD2009603_1322_1437_3600_FALL,BCD2009603,44.2529,-64.2977,2004-11-30,2010-05-31,13.0,"[332, 642, 746, 768, 1676, 1816, 2225, 2471, 3284, 3473, 4018, 4225, 4238]"
336,MTR_BCD2008603_1384_3648_3600_FALL,BCD2008603,44.2333,-64.3567,2003-11-24,2009-01-20,6.0,"[336, 1681, 2164, 2542, 2966, 2972]"
338,MTR_BCD2008603_1436_6524_3600_FALL,BCD2008603,44.1833,-66.25,2000-11-28,2009-05-28,5.0,"[338, 2446, 2756, 3879, 4006]"
343,MTR_BCD2003603_1336_9068_3600_FALL_12,BCD2003603,43.5712,-66.0555,2004-03-27,2007-02-05,5.0,"[343, 1318, 2151, 2890, 3564]"
350,MTR_BCD2004603_1172_8901_3600_SPRING_1,BCD2004603,43.4287,-65.6662,2000-03-05,2005-04-06,6.0,"[350, 1332, 1641, 1695, 2689, 4205]"
353,MTR_BCD2004603_1234_1440_3600_FALL_7,BCD2004603,43.6227,-66.2215,2001-01-05,2005-04-15,11.0,"[353, 1303, 1316, 2467, 2765, 2766, 3145, 3299, 3404, 4187, 4188]"
355,MTR_BCD2005603_1026_7175_3600_SPRING_1,BCD2005603,43.8833,-64.8,2004-06-12,2006-05-31,5.0,"[355, 579, 602, 1154, 1834]"
358,MTR_BCD2005603_1128_8885_3600_SPRING_1,BCD2005603,43.8032,-64.9242,2001-04-13,2010-05-30,8.0,"[358, 1588, 1764, 2624, 2774, 2875, 3196, 4021]"
359,MTR_BCD2005603_1276_2100_3600_SPRING_1,BCD2005603,43.9745,-64.6923,2001-07-12,2010-05-27,17.0,"[359, 732, 885, 941, 1175, 1292, 1821, 2325, 2335, 2469, 2687, 2762, 2928, 3268, 3401, 3807, 3942]"
360,MTR_BCD2005603_1304_7182_3600_SPRING_1,BCD2005603,44.4703,-63.6,2000-01-04,2005-06-20,2.0,"[360, 3382]"
362,MTR_BCD2005603_1420_1472_3600_SPRING_1,BCD2005603,43.3875,-65.55,2004-01-12,2005-04-06,2.0,"[362, 1078]"
363,MTR_BCD2005603_1424_1455_3600_SPRING_1,BCD2005603,44.2167,-66.2138,1999-12-15,2010-05-29,8.0,"[363, 1449, 1970, 2258, 2481, 3167, 3483, 3605]"
